review,rating,date,source,url
Katseye spas top artist and gnarly as my top song,,2025-12-03T17:21:24Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyRlSDJzam7H8x3l4F4AaABAg
Whoever put bus aunty on needs a raise😂❤,,2025-12-11T13:30:52Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugy8hBaxAYy0BcGmNLp4AaABAg
No wayyy!!!! Nemzzzz my man!!! 😮😮,,2025-12-07T20:26:00Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugyiuu61RPmF2IQczgl4AaABAg
Very British innit??,,2025-12-04T09:41:37Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugzwztrwq4dTet4bw5x4AaABAg
why is no one talking about bus auntieeeeee ?!?,,2025-12-04T11:59:08Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugyj3CNvS0rdbYSHbO14AaABAg
Cmon Spotify give an honorable mention to Sleep Token,,2025-12-05T20:40:17Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugxl3GYK7W-3GXEh-Up4AaABAg
Guys i am going to be on the cover next year yall should get ready,,2025-12-03T19:44:54Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzKLNCdG5FBYOecuJt4AaABAg
CANT BELIEVE KATSEYE IS NOT ON THIS VIDEO,,2025-12-05T11:16:31Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxsbefEW8ICyT2FLDt4AaABAg
"""How do I check my Spotify Wrapped?"" and yet, they still have not come up with an answer",,2025-12-17T12:26:19Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxTEB3jDuAa7jN4kpp4AaABAg
We’re is Mumford and sons😢,,2025-12-10T00:25:03Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxNgi63mH3oMCM-lAh4AaABAg
PINKPANTHRESS AND TIM COOK HELLO,,2025-12-03T20:15:59Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwzS1MiIB038Am4TpF4AaABAg
GUYS!! I HAVE A PROBLEMM!! I downloaded spotify like a month ago but i didnt get my wrapped😭🙏🏻Is it bcs i was there for like a month..😭😭🎀,,2025-12-04T16:41:36Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxYZ_ZvhkuxPUvBoH14AaABAg
JADE is the IT Girl!!!,,2025-12-03T15:43:24Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxSbdBruAInRYpZuqZ4AaABAg
"Mine was limp bizkit (0.03% listener) bmth, linkin park, soad and muse🎉",,2025-12-27T03:54:06Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugy1GBMVXZpMtAuJGGx4AaABAg
Cench and nemzzz deserve it but where are blanco and kidwild ?,,2026-02-14T16:47:28Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwPW_rVIQJZH1sMkZN4AaABAg
I was 39.3% of micah palace 💀 💀,,2025-12-05T12:33:07Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyIyDkz9cVgIMF4V654AaABAg
Am the nigerian mom at the end😭,,2025-12-03T20:31:26Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxB14htLlRLAdQPSJt4AaABAg
Is that grime gran 😭😭😭,,2025-12-09T17:34:27Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyRV4kFz1VctUt9t4B4AaABAg
I was waiting for skz btw,,2025-12-09T08:21:31Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzDLrND12ihNAEdfsN4AaABAg
I'm Central Cee's Top 407 fan,,2025-12-06T14:11:00Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzwNj7ebfljDHaOQ0R4AaABAg
what is kanyes wrapped,,2025-12-05T21:23:29Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwIjOGsb5txl_L7UW54AaABAg
"LET'S GO CEE. 0.01% my man. Well, deserved man on the climb to the top.",,2025-12-04T05:38:38Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwKKMfne1LtCHItSgV4AaABAg
my top artist ceelo green is rapst...i m embrass to show my top 5 now,,2025-12-05T05:48:36Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzHmLhB-bSwyK3f4Hh4AaABAg
Age is just a number,,2025-12-05T17:34:22Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugx13wLu4mnTZ7lpaDt4AaABAg
My Top 1 artist in my Spotify Wrapped is Imagine Dragons! ❤,,2025-12-05T03:52:20Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyxPZflfACFIlLFxhN4AaABAg
NEMZZZZZZZZ WTFFFFFFF,,2025-12-03T18:32:34Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugy1FxByw9a8ItUuD-R4AaABAg
Why's nobody talking about aunt bemi???,,2026-01-26T01:04:56Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugz4DsWDQtAfWS5R8gZ4AaABAg
I got to 100 cench listner,,2025-12-09T18:38:24Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzppfE8aR5bU1UjuON4AaABAg
suddenly we are British,,2025-12-03T19:06:50Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwEqAHNJ6qmAZGzXpR4AaABAg
Central cee mentioned I was a top 0.05 percent fan of his,,2025-12-03T20:17:27Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwkxoVtbsryPoVsaH14AaABAg
Im guessing ab 4 years more until Spotify is abandoned and fallen off 😂😂😂,,2025-12-05T00:50:02Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugx7AI92Zo8AcXAETbB4AaABAg
I'm 37 years old I got 16 years old listening and my top was insane clown poses,,2025-12-12T03:36:36Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyASqEXy0CmImd-sCp4AaABAg
Why did u call me 93 💀,,2026-01-10T19:11:20Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwiQKZrFIhmPlizr-J4AaABAg
“Age is just a number” wtf,,2025-12-07T12:25:30Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugyw3NKl8e7kkEMx9Z54AaABAg
FINALLY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,2025-12-10T17:00:28Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzKulJeRVFa4ef29BN4AaABAg
"2M views, 6k likes 🥀💀",,2025-12-06T03:04:04Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzOOqLxY_my83mWp8h4AaABAg
